OS Benchmark experiment
Test Name:,5.8.18,
       ref          kbest:,0.000000012,
       ref        average:,0.000000021,
       cpu          kbest:,0.002201010,
       cpu        average:,0.002204013,
    getpid          kbest:,0.000000335,
    getpid        average:,0.000000342,
context siwtch          kbest:,0.000004043,
context siwtch        average:,0.000004123,
      send          kbest:,0.000001734,
      send        average:,0.000002115,
      recv          kbest:,0.000000622,
      recv        average:,0.000002293,
  big send          kbest:,0.000015331,
  big send        average:,0.000024770,
  big recv          kbest:,0.000011047,
  big recv        average:,0.000022646,
      fork          kbest:,0.000092385,
      fork       average:,0.000204194,
      fork    Child kbest:,0.000157885,
      fork Child average:,0.000264101,
thr create          kbest:,0.000005940,
thr create       average:,0.000015525,
thr create    Child kbest:,0.000007973,
thr create Child average:,0.000020732,
  big fork          kbest:,0.002679744,
  big fork       average:,0.002959533,
  big fork    Child kbest:,0.002803435,
  big fork Child average:,0.003093717,
 huge fork          kbest:,0.005031008,
 huge fork       average:,0.006046134,
 huge fork    Child kbest:,0.005175246,
 huge fork Child average:,0.006184425,
small write          kbest:,0.000000903,
small write        average:,0.000000942,
small read          kbest:,0.000000515,
small read        average:,0.000000583,
small mmap          kbest:,0.000000614,
small mmap        average:,0.000000642,
small munmap          kbest:,0.000001021,
small munmap        average:,0.000001102,
small page fault          kbest:,0.000000773,
small page fault        average:,0.000000807,
 mid write          kbest:,0.000004327,
 mid write        average:,0.000004751,
  mid read          kbest:,0.000002147,
  mid read        average:,0.000002375,
  mid mmap          kbest:,0.000000613,
  mid mmap        average:,0.000000643,
mid munmap          kbest:,0.000003628,
mid munmap        average:,0.000003744,
mid page fault          kbest:,0.000001197,
mid page fault        average:,0.000001225,
 big write          kbest:,0.000588782,
 big write        average:,0.000603647,
  big read          kbest:,0.000359680,
  big read        average:,0.000363508,
  big mmap          kbest:,0.000000619,
  big mmap        average:,0.000000635,
big munmap          kbest:,0.000085807,
big munmap        average:,0.000086808,
big page fault          kbest:,0.000001572,
big page fault        average:,0.000001623,
huge write          kbest:,0.008418405,
huge write        average:,0.008675470,
 huge read          kbest:,0.011995065,
 huge read        average:,0.012173596,
 huge mmap          kbest:,0.000000608,
 huge mmap        average:,0.000000632,
huge munmap          kbest:,0.000873031,
huge munmap        average:,0.000880270,
huge page fault          kbest:,0.000001664,
huge page fault        average:,0.000001722,
    select          kbest:,0.000000982,
    select        average:,0.000001083,
      poll          kbest:,0.000000956,
      poll        average:,0.000001056,
     epoll          kbest:,0.000001030,
     epoll        average:,0.000001148,
select big          kbest:,0.000124719,
select big        average:,0.000163996,
  poll big          kbest:,0.000131204,
  poll big        average:,0.000171120,
 epoll big          kbest:,0.000167130,
 epoll big        average:,0.000230549,
