OS Benchmark experiment
Test Name:,6.0.19,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002147953,
       cpu        average:,0.002152710,
    getpid          kbest:,0.000000533,
    getpid        average:,0.000000543,
context siwtch          kbest:,0.000005176,
context siwtch        average:,0.000006181,
      send          kbest:,0.000000854,
      send        average:,0.000002873,
      recv          kbest:,0.000001017,
      recv        average:,0.000003077,
  big send          kbest:,0.000028492,
  big send        average:,0.000034220,
  big recv          kbest:,0.000023594,
  big recv        average:,0.000029638,
      fork          kbest:,0.000193298,
      fork       average:,0.000240553,
      fork    Child kbest:,0.000302937,
      fork Child average:,0.000398002,
thr create          kbest:,0.000015875,
thr create       average:,0.000024506,
thr create    Child kbest:,0.000025640,
thr create Child average:,0.000036018,
  big fork          kbest:,0.003329798,
  big fork       average:,0.003788561,
  big fork    Child kbest:,0.003499383,
  big fork Child average:,0.003959051,
 huge fork          kbest:,0.006978517,
 huge fork       average:,0.007685941,
 huge fork    Child kbest:,0.006822590,
 huge fork Child average:,0.007859057,
small write          kbest:,0.000001106,
small write        average:,0.000001140,
small read          kbest:,0.000000791,
small read        average:,0.000000873,
small mmap          kbest:,0.000000925,
small mmap        average:,0.000000957,
small munmap          kbest:,0.000001896,
small munmap        average:,0.000001986,
small page fault          kbest:,0.000001205,
small page fault        average:,0.000001239,
 mid write          kbest:,0.000003717,
 mid write        average:,0.000004113,
  mid read          kbest:,0.000002003,
  mid read        average:,0.000002217,
  mid mmap          kbest:,0.000000930,
  mid mmap        average:,0.000000960,
mid munmap          kbest:,0.000007028,
mid munmap        average:,0.000007287,
mid page fault          kbest:,0.000002469,
mid page fault        average:,0.000002536,
 big write          kbest:,0.000470791,
 big write        average:,0.000498366,
  big read          kbest:,0.000340468,
  big read        average:,0.000347305,
  big mmap          kbest:,0.000000928,
  big mmap        average:,0.000000962,
big munmap          kbest:,0.000260045,
big munmap        average:,0.000269023,
big page fault          kbest:,0.000003480,
big page fault        average:,0.000003557,
huge write          kbest:,0.007590200,
huge write        average:,0.007955901,
 huge read          kbest:,0.016059491,
 huge read        average:,0.017416167,
 huge mmap          kbest:,0.000000923,
 huge mmap        average:,0.000000961,
huge munmap          kbest:,0.002870156,
huge munmap        average:,0.002938400,
huge page fault          kbest:,0.000003474,
huge page fault        average:,0.000003582,
    select          kbest:,0.000001187,
    select        average:,0.000001315,
      poll          kbest:,0.000001071,
      poll        average:,0.000001216,
     epoll          kbest:,0.000001230,
     epoll        average:,0.000001370,
select big          kbest:,0.000099591,
select big        average:,0.000120243,
  poll big          kbest:,0.000095510,
  poll big        average:,0.000114406,
 epoll big          kbest:,0.000143435,
 epoll big        average:,0.000170797,
