OS Benchmark experiment
Test Name:,5.6.19,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002147369,
       cpu        average:,0.002150624,
    getpid          kbest:,0.000000332,
    getpid        average:,0.000000338,
context siwtch          kbest:,0.000004105,
context siwtch        average:,0.000004189,
      send          kbest:,0.000001835,
      send        average:,0.000002148,
      recv          kbest:,0.000000608,
      recv        average:,0.000002326,
  big send          kbest:,0.000021036,
  big send        average:,0.000028997,
  big recv          kbest:,0.000012257,
  big recv        average:,0.000025178,
      fork          kbest:,0.000098169,
      fork       average:,0.000197313,
      fork    Child kbest:,0.000167365,
      fork Child average:,0.000257480,
thr create          kbest:,0.000005962,
thr create       average:,0.000009463,
thr create    Child kbest:,0.000007917,
thr create Child average:,0.000012398,
  big fork          kbest:,0.001005182,
  big fork       average:,0.002964766,
  big fork    Child kbest:,0.001050106,
  big fork Child average:,0.003101851,
 huge fork          kbest:,0.005587742,
 huge fork       average:,0.006206388,
 huge fork    Child kbest:,0.005728523,
 huge fork Child average:,0.006342333,
small write          kbest:,0.000000917,
small write        average:,0.000000954,
small read          kbest:,0.000000516,
small read        average:,0.000000598,
small mmap          kbest:,0.000000617,
small mmap        average:,0.000000641,
small munmap          kbest:,0.000001021,
small munmap        average:,0.000001075,
small page fault          kbest:,0.000000770,
small page fault        average:,0.000000792,
 mid write          kbest:,0.000004411,
 mid write        average:,0.000004827,
  mid read          kbest:,0.000001972,
  mid read        average:,0.000002190,
  mid mmap          kbest:,0.000000606,
  mid mmap        average:,0.000000633,
mid munmap          kbest:,0.000003512,
mid munmap        average:,0.000003601,
mid page fault          kbest:,0.000001190,
mid page fault        average:,0.000001217,
 big write          kbest:,0.000586758,
 big write        average:,0.000602011,
  big read          kbest:,0.000341512,
  big read        average:,0.000344234,
  big mmap          kbest:,0.000000605,
  big mmap        average:,0.000000626,
big munmap          kbest:,0.000077470,
big munmap        average:,0.000078239,
big page fault          kbest:,0.000001590,
big page fault        average:,0.000001636,
huge write          kbest:,0.008334444,
huge write        average:,0.008453548,
 huge read          kbest:,0.011908608,
 huge read        average:,0.011971840,
 huge mmap          kbest:,0.000000601,
 huge mmap        average:,0.000000633,
huge munmap          kbest:,0.000846274,
huge munmap        average:,0.000861686,
huge page fault          kbest:,0.000001592,
huge page fault        average:,0.000001642,
    select          kbest:,0.000001009,
    select        average:,0.000001223,
      poll          kbest:,0.000001020,
      poll        average:,0.000001141,
     epoll          kbest:,0.000001046,
     epoll        average:,0.000001219,
select big          kbest:,0.000118650,
select big        average:,0.000160376,
  poll big          kbest:,0.000121496,
  poll big        average:,0.000166550,
 epoll big          kbest:,0.000155688,
 epoll big        average:,0.000224987,
