OS Benchmark experiment
Test Name:,5.4.0-84-generic,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002147075,
       cpu        average:,0.002154073,
    getpid          kbest:,0.000000330,
    getpid        average:,0.000000337,
context siwtch          kbest:,0.000003434,
context siwtch        average:,0.000004139,
      send          kbest:,0.000001747,
      send        average:,0.000002120,
      recv          kbest:,0.000000842,
      recv        average:,0.000002295,
  big send          kbest:,0.000017255,
  big send        average:,0.000028436,
  big recv          kbest:,0.000011683,
  big recv        average:,0.000025623,
      fork          kbest:,0.000093925,
      fork       average:,0.000177390,
      fork    Child kbest:,0.000161734,
      fork Child average:,0.000260952,
thr create          kbest:,0.000014435,
thr create       average:,0.000023015,
thr create    Child kbest:,0.000021922,
thr create Child average:,0.000031474,
  big fork          kbest:,0.002620206,
  big fork       average:,0.002781242,
  big fork    Child kbest:,0.002743186,
  big fork Child average:,0.002917592,
 huge fork          kbest:,0.004992733,
 huge fork       average:,0.005710552,
 huge fork    Child kbest:,0.005139604,
 huge fork Child average:,0.005851720,
small write          kbest:,0.000000890,
small write        average:,0.000000924,
small read          kbest:,0.000000517,
small read        average:,0.000000583,
small mmap          kbest:,0.000000621,
small mmap        average:,0.000000643,
small munmap          kbest:,0.000001027,
small munmap        average:,0.000001098,
small page fault          kbest:,0.000000778,
small page fault        average:,0.000000798,
 mid write          kbest:,0.000004329,
 mid write        average:,0.000004737,
  mid read          kbest:,0.000002074,
  mid read        average:,0.000002276,
  mid mmap          kbest:,0.000000615,
  mid mmap        average:,0.000000641,
mid munmap          kbest:,0.000003545,
mid munmap        average:,0.000003625,
mid page fault          kbest:,0.000001196,
mid page fault        average:,0.000001218,
 big write          kbest:,0.000584753,
 big write        average:,0.000609571,
  big read          kbest:,0.000346875,
  big read        average:,0.000349778,
  big mmap          kbest:,0.000000664,
  big mmap        average:,0.000000696,
big munmap          kbest:,0.000079019,
big munmap        average:,0.000079977,
big page fault          kbest:,0.000001259,
big page fault        average:,0.000001312,
huge write          kbest:,0.008433294,
huge write        average:,0.008565253,
 huge read          kbest:,0.011943243,
 huge read        average:,0.012005562,
 huge mmap          kbest:,0.000000614,
 huge mmap        average:,0.000000638,
huge munmap          kbest:,0.000807048,
huge munmap        average:,0.000872739,
huge page fault          kbest:,0.000001619,
huge page fault        average:,0.000001677,
    select          kbest:,0.000001004,
    select        average:,0.000001156,
      poll          kbest:,0.000000979,
      poll        average:,0.000001154,
     epoll          kbest:,0.000001043,
     epoll        average:,0.000001232,
select big          kbest:,0.000114489,
select big        average:,0.000165032,
  poll big          kbest:,0.000128874,
  poll big        average:,0.000166358,
 epoll big          kbest:,0.000166651,
 epoll big        average:,0.000229528,
