OS Benchmark experiment
Test Name:,6.9.12,
       ref          kbest:,0.000000013,
       ref        average:,0.000000021,
       cpu          kbest:,0.002148538,
       cpu        average:,0.002156453,
    getpid          kbest:,0.000000503,
    getpid        average:,0.000000511,
context siwtch          kbest:,0.000004894,
context siwtch        average:,0.000005345,
      send          kbest:,0.000000825,
      send        average:,0.000002682,
      recv          kbest:,0.000000860,
      recv        average:,0.000002921,
  big send          kbest:,0.000025131,
  big send        average:,0.000032423,
  big recv          kbest:,0.000018258,
  big recv        average:,0.000029287,
      fork          kbest:,0.000159805,
      fork       average:,0.000273874,
      fork    Child kbest:,0.000254135,
      fork Child average:,0.000422955,
thr create          kbest:,0.000008734,
thr create       average:,0.000023041,
thr create    Child kbest:,0.000012735,
thr create Child average:,0.000033170,
  big fork          kbest:,0.003527072,
  big fork       average:,0.004856945,
  big fork    Child kbest:,0.003686778,
  big fork Child average:,0.005021995,
 huge fork          kbest:,0.006806157,
 huge fork       average:,0.009744943,
 huge fork    Child kbest:,0.006977577,
 huge fork Child average:,0.009890875,
small write          kbest:,0.000001036,
small write        average:,0.000001061,
small read          kbest:,0.000000738,
small read        average:,0.000000796,
small mmap          kbest:,0.000001324,
small mmap        average:,0.000001429,
small munmap          kbest:,0.000001740,
small munmap        average:,0.000001841,
small page fault          kbest:,0.000001164,
small page fault        average:,0.000001197,
 mid write          kbest:,0.000003304,
 mid write        average:,0.000003642,
  mid read          kbest:,0.000002068,
  mid read        average:,0.000002208,
  mid mmap          kbest:,0.000001345,
  mid mmap        average:,0.000001465,
mid munmap          kbest:,0.000005157,
mid munmap        average:,0.000005311,
mid page fault          kbest:,0.000001995,
mid page fault        average:,0.000002066,
 big write          kbest:,0.000425626,
 big write        average:,0.000444024,
  big read          kbest:,0.000329702,
  big read        average:,0.000334396,
  big mmap          kbest:,0.000001423,
  big mmap        average:,0.000001542,
big munmap          kbest:,0.000145607,
big munmap        average:,0.000148681,
big page fault          kbest:,0.000002616,
big page fault        average:,0.000002681,
huge write          kbest:,0.007179010,
huge write        average:,0.007570531,
 huge read          kbest:,0.013864020,
 huge read        average:,0.015092563,
 huge mmap          kbest:,0.000001366,
 huge mmap        average:,0.000001510,
huge munmap          kbest:,0.001426025,
huge munmap        average:,0.001477596,
huge page fault          kbest:,0.000002634,
huge page fault        average:,0.000002734,
    select          kbest:,0.000001168,
    select        average:,0.000001275,
      poll          kbest:,0.000001069,
      poll        average:,0.000001129,
     epoll          kbest:,0.000001271,
     epoll        average:,0.000001388,
select big          kbest:,0.000113876,
select big        average:,0.000138801,
  poll big          kbest:,0.000103272,
  poll big        average:,0.000129540,
 epoll big          kbest:,0.000139844,
 epoll big        average:,0.000185815,
