OS Benchmark experiment
Test Name:,5.15.173,
       ref          kbest:,0.000000013,
       ref        average:,0.000000025,
       cpu          kbest:,0.002148079,
       cpu        average:,0.002186574,
    getpid          kbest:,0.000000508,
    getpid        average:,0.000000523,
context siwtch          kbest:,0.000005575,
context siwtch        average:,0.000005706,
      send          kbest:,0.000002604,
      send        average:,0.000002756,
      recv          kbest:,0.000000913,
      recv        average:,0.000002862,
  big send          kbest:,0.000014965,
  big send        average:,0.000018139,
  big recv          kbest:,0.000022767,
  big recv        average:,0.000029245,
      fork          kbest:,0.000174683,
      fork       average:,0.000237792,
      fork    Child kbest:,0.000248852,
      fork Child average:,0.000312366,
thr create          kbest:,0.000011279,
thr create       average:,0.000020249,
thr create    Child kbest:,0.000015472,
thr create Child average:,0.000028303,
  big fork          kbest:,0.003120670,
  big fork       average:,0.003380920,
  big fork    Child kbest:,0.003289111,
  big fork Child average:,0.003549799,
 huge fork          kbest:,0.006247652,
 huge fork       average:,0.006972289,
 huge fork    Child kbest:,0.006413372,
 huge fork Child average:,0.007139004,
small write          kbest:,0.000001649,
small write        average:,0.000002529,
small read          kbest:,0.000000839,
small read        average:,0.000000912,
small mmap          kbest:,0.000000893,
small mmap        average:,0.000000916,
small munmap          kbest:,0.000001400,
small munmap        average:,0.000001480,
small page fault          kbest:,0.000001089,
small page fault        average:,0.000001119,
 mid write          kbest:,0.000004843,
 mid write        average:,0.000005879,
  mid read          kbest:,0.000002132,
  mid read        average:,0.000002338,
  mid mmap          kbest:,0.000000884,
  mid mmap        average:,0.000000908,
mid munmap          kbest:,0.000004513,
mid munmap        average:,0.000004648,
mid page fault          kbest:,0.000001812,
mid page fault        average:,0.000001848,
 big write          kbest:,0.000447546,
 big write        average:,0.000470821,
  big read          kbest:,0.000336768,
  big read        average:,0.000341108,
  big mmap          kbest:,0.000000897,
  big mmap        average:,0.000000929,
big munmap          kbest:,0.000130169,
big munmap        average:,0.000132474,
big page fault          kbest:,0.000002394,
big page fault        average:,0.000002472,
huge write          kbest:,0.007603732,
huge write        average:,0.007917009,
 huge read          kbest:,0.013119716,
 huge read        average:,0.014254376,
 huge mmap          kbest:,0.000000890,
 huge mmap        average:,0.000000917,
huge munmap          kbest:,0.001481440,
huge munmap        average:,0.001497962,
huge page fault          kbest:,0.000002400,
huge page fault        average:,0.000002454,
    select          kbest:,0.000001151,
    select        average:,0.000001265,
      poll          kbest:,0.000001035,
      poll        average:,0.000001125,
     epoll          kbest:,0.000001249,
     epoll        average:,0.000001360,
select big          kbest:,0.000099702,
select big        average:,0.000168461,
  poll big          kbest:,0.000096702,
  poll big        average:,0.000155001,
 epoll big          kbest:,0.000153350,
 epoll big        average:,0.000236528,
