OS Benchmark experiment
Test Name:,5.16.20,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002149029,
       cpu        average:,0.002173364,
    getpid          kbest:,0.000000334,
    getpid        average:,0.000000340,
context siwtch          kbest:,0.000004324,
context siwtch        average:,0.000004428,
      send          kbest:,0.000001860,
      send        average:,0.000002210,
      recv          kbest:,0.000000733,
      recv        average:,0.000002483,
  big send          kbest:,0.000014702,
  big send        average:,0.000029433,
  big recv          kbest:,0.000021559,
  big recv        average:,0.000029671,
      fork          kbest:,0.000171630,
      fork       average:,0.000209231,
      fork    Child kbest:,0.000238754,
      fork Child average:,0.000276328,
thr create          kbest:,0.000012781,
thr create       average:,0.000024034,
thr create    Child kbest:,0.000017095,
thr create Child average:,0.000032356,
  big fork          kbest:,0.003404640,
  big fork       average:,0.003658844,
  big fork    Child kbest:,0.003547638,
  big fork Child average:,0.003806871,
 huge fork          kbest:,0.005903955,
 huge fork       average:,0.007293416,
 huge fork    Child kbest:,0.006063967,
 huge fork Child average:,0.007448790,
small write          kbest:,0.000000798,
small write        average:,0.000000831,
small read          kbest:,0.000000558,
small read        average:,0.000000639,
small mmap          kbest:,0.000000643,
small mmap        average:,0.000000682,
small munmap          kbest:,0.000001204,
small munmap        average:,0.000001282,
small page fault          kbest:,0.000000842,
small page fault        average:,0.000000883,
 mid write          kbest:,0.000003213,
 mid write        average:,0.000003629,
  mid read          kbest:,0.000001926,
  mid read        average:,0.000002137,
  mid mmap          kbest:,0.000000641,
  mid mmap        average:,0.000000674,
mid munmap          kbest:,0.000004664,
mid munmap        average:,0.000004832,
mid page fault          kbest:,0.000001548,
mid page fault        average:,0.000001614,
 big write          kbest:,0.000460918,
 big write        average:,0.000481321,
  big read          kbest:,0.000330568,
  big read        average:,0.000335222,
  big mmap          kbest:,0.000000647,
  big mmap        average:,0.000000671,
big munmap          kbest:,0.000137077,
big munmap        average:,0.000141077,
big page fault          kbest:,0.000001770,
big page fault        average:,0.000001850,
huge write          kbest:,0.007884558,
huge write        average:,0.007954888,
 huge read          kbest:,0.013786495,
 huge read        average:,0.014413477,
 huge mmap          kbest:,0.000000636,
 huge mmap        average:,0.000000667,
huge munmap          kbest:,0.001617138,
huge munmap        average:,0.001656261,
huge page fault          kbest:,0.000002149,
huge page fault        average:,0.000002254,
    select          kbest:,0.000000931,
    select        average:,0.000001070,
      poll          kbest:,0.000000838,
      poll        average:,0.000000976,
     epoll          kbest:,0.000000953,
     epoll        average:,0.000001122,
select big          kbest:,0.000111304,
select big        average:,0.000141637,
  poll big          kbest:,0.000106656,
  poll big        average:,0.000136955,
 epoll big          kbest:,0.000154110,
 epoll big        average:,0.000187468,
