OS Benchmark experiment
Test Name:,5.11.22,
       ref          kbest:,0.000000012,
       ref        average:,0.000000020,
       cpu          kbest:,0.002148753,
       cpu        average:,0.002177082,
    getpid          kbest:,0.000000321,
    getpid        average:,0.000000329,
context siwtch          kbest:,0.000004049,
context siwtch        average:,0.000004129,
      send          kbest:,0.000001763,
      send        average:,0.000002149,
      recv          kbest:,0.000000888,
      recv        average:,0.000002319,
  big send          kbest:,0.000021772,
  big send        average:,0.000027666,
  big recv          kbest:,0.000011856,
  big recv        average:,0.000024567,
      fork          kbest:,0.000093827,
      fork       average:,0.000209153,
      fork    Child kbest:,0.000161044,
      fork Child average:,0.000270736,
thr create          kbest:,0.000008435,
thr create       average:,0.000020276,
thr create    Child kbest:,0.000011337,
thr create Child average:,0.000027590,
  big fork          kbest:,0.003277656,
  big fork       average:,0.003575351,
  big fork    Child kbest:,0.002987511,
  big fork Child average:,0.003710440,
 huge fork          kbest:,0.006313459,
 huge fork       average:,0.007250409,
 huge fork    Child kbest:,0.006451945,
 huge fork Child average:,0.007387112,
small write          kbest:,0.000000913,
small write        average:,0.000000966,
small read          kbest:,0.000000518,
small read        average:,0.000000616,
small mmap          kbest:,0.000000625,
small mmap        average:,0.000000645,
small munmap          kbest:,0.000001066,
small munmap        average:,0.000001145,
small page fault          kbest:,0.000000772,
small page fault        average:,0.000000799,
 mid write          kbest:,0.000004353,
 mid write        average:,0.000004756,
  mid read          kbest:,0.000001545,
  mid read        average:,0.000002046,
  mid mmap          kbest:,0.000000608,
  mid mmap        average:,0.000000636,
mid munmap          kbest:,0.000003650,
mid munmap        average:,0.000003733,
mid page fault          kbest:,0.000001237,
mid page fault        average:,0.000001270,
 big write          kbest:,0.000593299,
 big write        average:,0.000628365,
  big read          kbest:,0.000318340,
  big read        average:,0.000321357,
  big mmap          kbest:,0.000000604,
  big mmap        average:,0.000000626,
big munmap          kbest:,0.000089361,
big munmap        average:,0.000090308,
big page fault          kbest:,0.000001652,
big page fault        average:,0.000001690,
huge write          kbest:,0.008295130,
huge write        average:,0.008425128,
 huge read          kbest:,0.011725223,
 huge read        average:,0.011820270,
 huge mmap          kbest:,0.000000599,
 huge mmap        average:,0.000000619,
huge munmap          kbest:,0.000900761,
huge munmap        average:,0.000912579,
huge page fault          kbest:,0.000001002,
huge page fault        average:,0.000001032,
    select          kbest:,0.000000879,
    select        average:,0.000001005,
      poll          kbest:,0.000000793,
      poll        average:,0.000000891,
     epoll          kbest:,0.000000920,
     epoll        average:,0.000001032,
select big          kbest:,0.000109071,
select big        average:,0.000143632,
  poll big          kbest:,0.000103481,
  poll big        average:,0.000134061,
 epoll big          kbest:,0.000151301,
 epoll big        average:,0.000206615,
