OS Benchmark experiment
Test Name:,5.14.21,
       ref          kbest:,0.000000013,
       ref        average:,0.000000025,
       cpu          kbest:,0.002147957,
       cpu        average:,0.002158973,
    getpid          kbest:,0.000000325,
    getpid        average:,0.000000332,
context siwtch          kbest:,0.000003779,
context siwtch        average:,0.000003883,
      send          kbest:,0.000001728,
      send        average:,0.000002135,
      recv          kbest:,0.000000703,
      recv        average:,0.000002254,
  big send          kbest:,0.000015834,
  big send        average:,0.000031116,
  big recv          kbest:,0.000011367,
  big recv        average:,0.000027576,
      fork          kbest:,0.000096351,
      fork       average:,0.000204171,
      fork    Child kbest:,0.000162546,
      fork Child average:,0.000265848,
thr create          kbest:,0.000011354,
thr create       average:,0.000020080,
thr create    Child kbest:,0.000015771,
thr create Child average:,0.000027536,
  big fork          kbest:,0.003330879,
  big fork       average:,0.003616476,
  big fork    Child kbest:,0.003468447,
  big fork Child average:,0.003765281,
 huge fork          kbest:,0.006743027,
 huge fork       average:,0.007545059,
 huge fork    Child kbest:,0.006899812,
 huge fork Child average:,0.007697234,
small write          kbest:,0.000000896,
small write        average:,0.000000946,
small read          kbest:,0.000000550,
small read        average:,0.000000642,
small mmap          kbest:,0.000000623,
small mmap        average:,0.000000645,
small munmap          kbest:,0.000001017,
small munmap        average:,0.000001079,
small page fault          kbest:,0.000000790,
small page fault        average:,0.000000819,
 mid write          kbest:,0.000004270,
 mid write        average:,0.000004755,
  mid read          kbest:,0.000001965,
  mid read        average:,0.000002185,
  mid mmap          kbest:,0.000000614,
  mid mmap        average:,0.000000643,
mid munmap          kbest:,0.000003763,
mid munmap        average:,0.000003848,
mid page fault          kbest:,0.000001286,
mid page fault        average:,0.000001320,
 big write          kbest:,0.000596998,
 big write        average:,0.000627167,
  big read          kbest:,0.000348387,
  big read        average:,0.000352373,
  big mmap          kbest:,0.000000623,
  big mmap        average:,0.000000648,
big munmap          kbest:,0.000087665,
big munmap        average:,0.000090468,
big page fault          kbest:,0.000001693,
big page fault        average:,0.000001762,
huge write          kbest:,0.008855347,
huge write        average:,0.009151166,
 huge read          kbest:,0.013509830,
 huge read        average:,0.013706983,
 huge mmap          kbest:,0.000000613,
 huge mmap        average:,0.000000629,
huge munmap          kbest:,0.001098063,
huge munmap        average:,0.001111478,
huge page fault          kbest:,0.000001689,
huge page fault        average:,0.000001734,
    select          kbest:,0.000000881,
    select        average:,0.000001023,
      poll          kbest:,0.000000790,
      poll        average:,0.000000938,
     epoll          kbest:,0.000000917,
     epoll        average:,0.000001009,
select big          kbest:,0.000103400,
select big        average:,0.000137660,
  poll big          kbest:,0.000101184,
  poll big        average:,0.000133386,
 epoll big          kbest:,0.000157084,
 epoll big        average:,0.000208129,
