OS Benchmark experiment
Test Name:,5.1.21,
       ref          kbest:,0.000000013,
       ref        average:,0.000000021,
       cpu          kbest:,0.002148610,
       cpu        average:,0.002159862,
    getpid          kbest:,0.000000330,
    getpid        average:,0.000000340,
context siwtch          kbest:,0.000003359,
context siwtch        average:,0.000004046,
      send          kbest:,0.000001394,
      send        average:,0.000002093,
      recv          kbest:,0.000000608,
      recv        average:,0.000002337,
  big send          kbest:,0.000009851,
  big send        average:,0.000017243,
  big recv          kbest:,0.000012281,
  big recv        average:,0.000026030,
      fork          kbest:,0.000132252,
      fork       average:,0.000190710,
      fork    Child kbest:,0.000202970,
      fork Child average:,0.000283225,
thr create          kbest:,0.000010245,
thr create       average:,0.000021225,
thr create    Child kbest:,0.000017064,
thr create Child average:,0.000029557,
  big fork          kbest:,0.001525658,
  big fork       average:,0.002797799,
  big fork    Child kbest:,0.001681444,
  big fork Child average:,0.002939449,
 huge fork          kbest:,0.003322187,
 huge fork       average:,0.005759443,
 huge fork    Child kbest:,0.003474858,
 huge fork Child average:,0.005903883,
small write          kbest:,0.000001335,
small write        average:,0.000003897,
small read          kbest:,0.000000536,
small read        average:,0.000000616,
small mmap          kbest:,0.000000613,
small mmap        average:,0.000000634,
small munmap          kbest:,0.000001014,
small munmap        average:,0.000001114,
small page fault          kbest:,0.000000761,
small page fault        average:,0.000000782,
 mid write          kbest:,0.000006272,
 mid write        average:,0.000008544,
  mid read          kbest:,0.000002002,
  mid read        average:,0.000002200,
  mid mmap          kbest:,0.000000607,
  mid mmap        average:,0.000000624,
mid munmap          kbest:,0.000003328,
mid munmap        average:,0.000003473,
mid page fault          kbest:,0.000001138,
mid page fault        average:,0.000001170,
 big write          kbest:,0.000589024,
 big write        average:,0.000602910,
  big read          kbest:,0.000358407,
  big read        average:,0.000361627,
  big mmap          kbest:,0.000000625,
  big mmap        average:,0.000000649,
big munmap          kbest:,0.000074571,
big munmap        average:,0.000075396,
big page fault          kbest:,0.000001532,
big page fault        average:,0.000001610,
huge write          kbest:,0.008447984,
huge write        average:,0.008743659,
 huge read          kbest:,0.011951989,
 huge read        average:,0.012903644,
 huge mmap          kbest:,0.000000611,
 huge mmap        average:,0.000000638,
huge munmap          kbest:,0.000766796,
huge munmap        average:,0.000786580,
huge page fault          kbest:,0.000001526,
huge page fault        average:,0.000001570,
    select          kbest:,0.000000995,
    select        average:,0.000001064,
      poll          kbest:,0.000000966,
      poll        average:,0.000001057,
     epoll          kbest:,0.000001012,
     epoll        average:,0.000001116,
select big          kbest:,0.000109310,
select big        average:,0.000159233,
  poll big          kbest:,0.000118952,
  poll big        average:,0.000165806,
 epoll big          kbest:,0.000148385,
 epoll big        average:,0.000227530,
