OS Benchmark experiment
Test Name:,5.13.19,
       ref          kbest:,0.000000013,
       ref        average:,0.000000021,
       cpu          kbest:,0.002200333,
       cpu        average:,0.002203538,
    getpid          kbest:,0.000000326,
    getpid        average:,0.000000333,
context siwtch          kbest:,0.000003804,
context siwtch        average:,0.000003913,
      send          kbest:,0.000001750,
      send        average:,0.000002141,
      recv          kbest:,0.000000775,
      recv        average:,0.000002261,
  big send          kbest:,0.000017355,
  big send        average:,0.000027911,
  big recv          kbest:,0.000014928,
  big recv        average:,0.000023600,
      fork          kbest:,0.000098295,
      fork       average:,0.000190873,
      fork    Child kbest:,0.000163335,
      fork Child average:,0.000251139,
thr create          kbest:,0.000009282,
thr create       average:,0.000019557,
thr create    Child kbest:,0.000012529,
thr create Child average:,0.000027213,
  big fork          kbest:,0.003365775,
  big fork       average:,0.003678469,
  big fork    Child kbest:,0.003500699,
  big fork Child average:,0.003819982,
 huge fork          kbest:,0.006573074,
 huge fork       average:,0.007344790,
 huge fork    Child kbest:,0.006710490,
 huge fork Child average:,0.007487365,
small write          kbest:,0.000000912,
small write        average:,0.000000978,
small read          kbest:,0.000000558,
small read        average:,0.000000668,
small mmap          kbest:,0.000000625,
small mmap        average:,0.000000661,
small munmap          kbest:,0.000001061,
small munmap        average:,0.000001112,
small page fault          kbest:,0.000000784,
small page fault        average:,0.000000821,
 mid write          kbest:,0.000004333,
 mid write        average:,0.000004750,
  mid read          kbest:,0.000001837,
  mid read        average:,0.000002059,
  mid mmap          kbest:,0.000000620,
  mid mmap        average:,0.000000637,
mid munmap          kbest:,0.000003712,
mid munmap        average:,0.000003809,
mid page fault          kbest:,0.000001265,
mid page fault        average:,0.000001304,
 big write          kbest:,0.000596293,
 big write        average:,0.000616955,
  big read          kbest:,0.000345341,
  big read        average:,0.000348791,
  big mmap          kbest:,0.000000630,
  big mmap        average:,0.000000669,
big munmap          kbest:,0.000093847,
big munmap        average:,0.000094947,
big page fault          kbest:,0.000001676,
big page fault        average:,0.000001726,
huge write          kbest:,0.008361083,
huge write        average:,0.008708547,
 huge read          kbest:,0.011871771,
 huge read        average:,0.013041157,
 huge mmap          kbest:,0.000000619,
 huge mmap        average:,0.000000642,
huge munmap          kbest:,0.000948920,
huge munmap        average:,0.000953953,
huge page fault          kbest:,0.000001680,
huge page fault        average:,0.000001745,
    select          kbest:,0.000000890,
    select        average:,0.000001051,
      poll          kbest:,0.000000782,
      poll        average:,0.000000889,
     epoll          kbest:,0.000000926,
     epoll        average:,0.000001062,
select big          kbest:,0.000108880,
select big        average:,0.000147825,
  poll big          kbest:,0.000107138,
  poll big        average:,0.000139453,
 epoll big          kbest:,0.000158323,
 epoll big        average:,0.000214216,
