OS Benchmark experiment
Test Name:,5.0.21,
       ref          kbest:,0.000000013,
       ref        average:,0.000000021,
       cpu          kbest:,0.002200388,
       cpu        average:,0.002204186,
    getpid          kbest:,0.000000329,
    getpid        average:,0.000000363,
context siwtch          kbest:,0.000003339,
context siwtch        average:,0.000004040,
      send          kbest:,0.000001789,
      send        average:,0.000002051,
      recv          kbest:,0.000000630,
      recv        average:,0.000002341,
  big send          kbest:,0.000009007,
  big send        average:,0.000016197,
  big recv          kbest:,0.000022416,
  big recv        average:,0.000025762,
      fork          kbest:,0.000135292,
      fork       average:,0.000175500,
      fork    Child kbest:,0.000202537,
      fork Child average:,0.000262207,
thr create          kbest:,0.000013302,
thr create       average:,0.000021285,
thr create    Child kbest:,0.000019471,
thr create Child average:,0.000029531,
  big fork          kbest:,0.002569180,
  big fork       average:,0.002741243,
  big fork    Child kbest:,0.001372012,
  big fork Child average:,0.002880363,
 huge fork          kbest:,0.005373042,
 huge fork       average:,0.005654052,
 huge fork    Child kbest:,0.005513274,
 huge fork Child average:,0.005795058,
small write          kbest:,0.000002093,
small write        average:,0.000003836,
small read          kbest:,0.000000522,
small read        average:,0.000000556,
small mmap          kbest:,0.000000618,
small mmap        average:,0.000000636,
small munmap          kbest:,0.000000979,
small munmap        average:,0.000001053,
small page fault          kbest:,0.000000766,
small page fault        average:,0.000000799,
 mid write          kbest:,0.000006346,
 mid write        average:,0.000008465,
  mid read          kbest:,0.000001739,
  mid read        average:,0.000002073,
  mid mmap          kbest:,0.000000613,
  mid mmap        average:,0.000000638,
mid munmap          kbest:,0.000003339,
mid munmap        average:,0.000003473,
mid page fault          kbest:,0.000001126,
mid page fault        average:,0.000001171,
 big write          kbest:,0.000575955,
 big write        average:,0.000592353,
  big read          kbest:,0.000336437,
  big read        average:,0.000339446,
  big mmap          kbest:,0.000000616,
  big mmap        average:,0.000000641,
big munmap          kbest:,0.000075001,
big munmap        average:,0.000075977,
big page fault          kbest:,0.000001509,
big page fault        average:,0.000001652,
huge write          kbest:,0.008290410,
huge write        average:,0.008455024,
 huge read          kbest:,0.011739917,
 huge read        average:,0.011809676,
 huge mmap          kbest:,0.000000606,
 huge mmap        average:,0.000000625,
huge munmap          kbest:,0.000754318,
huge munmap        average:,0.000762870,
huge page fault          kbest:,0.000001514,
huge page fault        average:,0.000001568,
    select          kbest:,0.000000978,
    select        average:,0.000001087,
      poll          kbest:,0.000000954,
      poll        average:,0.000001009,
     epoll          kbest:,0.000001023,
     epoll        average:,0.000001093,
select big          kbest:,0.000103714,
select big        average:,0.000145966,
  poll big          kbest:,0.000110661,
  poll big        average:,0.000149648,
 epoll big          kbest:,0.000140184,
 epoll big        average:,0.000214374,
