OS Benchmark experiment
Test Name:,5.10.16,
       ref          kbest:,0.000000012,
       ref        average:,0.000000021,
       cpu          kbest:,0.002149649,
       cpu        average:,0.002385138,
    getpid          kbest:,0.000000325,
    getpid        average:,0.000000333,
context siwtch          kbest:,0.000004082,
context siwtch        average:,0.000004183,
      send          kbest:,0.000001380,
      send        average:,0.000002133,
      recv          kbest:,0.000000717,
      recv        average:,0.000002284,
  big send          kbest:,0.000019761,
  big send        average:,0.000027762,
  big recv          kbest:,0.000011698,
  big recv        average:,0.000024277,
      fork          kbest:,0.000095963,
      fork       average:,0.000220063,
      fork    Child kbest:,0.000162786,
      fork Child average:,0.000281751,
thr create          kbest:,0.000009514,
thr create       average:,0.000019247,
thr create    Child kbest:,0.000012767,
thr create Child average:,0.000026271,
  big fork          kbest:,0.003360926,
  big fork       average:,0.003603912,
  big fork    Child kbest:,0.003499806,
  big fork Child average:,0.003738340,
 huge fork          kbest:,0.006127743,
 huge fork       average:,0.007267770,
 huge fork    Child kbest:,0.006270769,
 huge fork Child average:,0.007403993,
small write          kbest:,0.000000907,
small write        average:,0.000000948,
small read          kbest:,0.000000506,
small read        average:,0.000000575,
small mmap          kbest:,0.000000617,
small mmap        average:,0.000000646,
small munmap          kbest:,0.000001003,
small munmap        average:,0.000001079,
small page fault          kbest:,0.000000778,
small page fault        average:,0.000000795,
 mid write          kbest:,0.000004352,
 mid write        average:,0.000004822,
  mid read          kbest:,0.000001779,
  mid read        average:,0.000002028,
  mid mmap          kbest:,0.000000613,
  mid mmap        average:,0.000000642,
mid munmap          kbest:,0.000003650,
mid munmap        average:,0.000003760,
mid page fault          kbest:,0.000001232,
mid page fault        average:,0.000001262,
 big write          kbest:,0.000602091,
 big write        average:,0.000633176,
  big read          kbest:,0.000365066,
  big read        average:,0.000368020,
  big mmap          kbest:,0.000000614,
  big mmap        average:,0.000000644,
big munmap          kbest:,0.000088082,
big munmap        average:,0.000088954,
big page fault          kbest:,0.000001643,
big page fault        average:,0.000001698,
huge write          kbest:,0.008343741,
huge write        average:,0.008579566,
 huge read          kbest:,0.012048737,
 huge read        average:,0.012154280,
 huge mmap          kbest:,0.000000607,
 huge mmap        average:,0.000000634,
huge munmap          kbest:,0.000898312,
huge munmap        average:,0.000921561,
huge page fault          kbest:,0.000001628,
huge page fault        average:,0.000001685,
    select          kbest:,0.000000990,
    select        average:,0.000001123,
      poll          kbest:,0.000000895,
      poll        average:,0.000001061,
     epoll          kbest:,0.000001069,
     epoll        average:,0.000001185,
select big          kbest:,0.000118626,
select big        average:,0.000159328,
  poll big          kbest:,0.000118429,
  poll big        average:,0.000152246,
 epoll big          kbest:,0.000165844,
 epoll big        average:,0.000221382,
