OS Benchmark experiment
Test Name:,5.9.16,
       ref          kbest:,0.000000012,
       ref        average:,0.000000020,
       cpu          kbest:,0.002200419,
       cpu        average:,0.002202743,
    getpid          kbest:,0.000000332,
    getpid        average:,0.000000339,
context siwtch          kbest:,0.000004067,
context siwtch        average:,0.000004158,
      send          kbest:,0.000001743,
      send        average:,0.000002132,
      recv          kbest:,0.000000607,
      recv        average:,0.000002275,
  big send          kbest:,0.000015124,
  big send        average:,0.000027448,
  big recv          kbest:,0.000011444,
  big recv        average:,0.000024391,
      fork          kbest:,0.000095076,
      fork       average:,0.000207570,
      fork    Child kbest:,0.000161170,
      fork Child average:,0.000267205,
thr create          kbest:,0.000010441,
thr create       average:,0.000018155,
thr create    Child kbest:,0.000014197,
thr create Child average:,0.000025366,
  big fork          kbest:,0.003312629,
  big fork       average:,0.003630123,
  big fork    Child kbest:,0.003484233,
  big fork Child average:,0.003769672,
 huge fork          kbest:,0.006299612,
 huge fork       average:,0.007263927,
 huge fork    Child kbest:,0.006442327,
 huge fork Child average:,0.007406153,
small write          kbest:,0.000000906,
small write        average:,0.000000963,
small read          kbest:,0.000000513,
small read        average:,0.000000598,
small mmap          kbest:,0.000000617,
small mmap        average:,0.000000655,
small munmap          kbest:,0.000000995,
small munmap        average:,0.000001059,
small page fault          kbest:,0.000000765,
small page fault        average:,0.000000794,
 mid write          kbest:,0.000004396,
 mid write        average:,0.000004855,
  mid read          kbest:,0.000001749,
  mid read        average:,0.000002016,
  mid mmap          kbest:,0.000000610,
  mid mmap        average:,0.000000641,
mid munmap          kbest:,0.000003650,
mid munmap        average:,0.000003750,
mid page fault          kbest:,0.000001202,
mid page fault        average:,0.000001236,
 big write          kbest:,0.000601539,
 big write        average:,0.000617499,
  big read          kbest:,0.000362002,
  big read        average:,0.000365145,
  big mmap          kbest:,0.000000604,
  big mmap        average:,0.000000632,
big munmap          kbest:,0.000086054,
big munmap        average:,0.000086888,
big page fault          kbest:,0.000001617,
big page fault        average:,0.000001699,
huge write          kbest:,0.008536138,
huge write        average:,0.008799697,
 huge read          kbest:,0.011992450,
 huge read        average:,0.012778933,
 huge mmap          kbest:,0.000000601,
 huge mmap        average:,0.000000630,
huge munmap          kbest:,0.000867920,
huge munmap        average:,0.000873576,
huge page fault          kbest:,0.000001625,
huge page fault        average:,0.000001689,
    select          kbest:,0.000000990,
    select        average:,0.000001123,
      poll          kbest:,0.000000966,
      poll        average:,0.000001102,
     epoll          kbest:,0.000001061,
     epoll        average:,0.000001175,
select big          kbest:,0.000121027,
select big        average:,0.000160426,
  poll big          kbest:,0.000129628,
  poll big        average:,0.000165832,
 epoll big          kbest:,0.000164883,
 epoll big        average:,0.000225680,
