OS Benchmark experiment
Test Name:,6.5.13,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002147956,
       cpu        average:,0.002150320,
    getpid          kbest:,0.000000516,
    getpid        average:,0.000000524,
context siwtch          kbest:,0.000004598,
context siwtch        average:,0.000005464,
      send          kbest:,0.000000818,
      send        average:,0.000002755,
      recv          kbest:,0.000000889,
      recv        average:,0.000002932,
  big send          kbest:,0.000028194,
  big send        average:,0.000032711,
  big recv          kbest:,0.000015292,
  big recv        average:,0.000028960,
      fork          kbest:,0.000151467,
      fork       average:,0.000236582,
      fork    Child kbest:,0.000242578,
      fork Child average:,0.000386705,
thr create          kbest:,0.000017095,
thr create       average:,0.000023518,
thr create    Child kbest:,0.000025866,
thr create Child average:,0.000034202,
  big fork          kbest:,0.006230085,
  big fork       average:,0.007489583,
  big fork    Child kbest:,0.006380560,
  big fork Child average:,0.007654013,
 huge fork          kbest:,0.007438676,
 huge fork       average:,0.014722768,
 huge fork    Child kbest:,0.007611004,
 huge fork Child average:,0.014898423,
small write          kbest:,0.000001071,
small write        average:,0.000001106,
small read          kbest:,0.000000770,
small read        average:,0.000000859,
small mmap          kbest:,0.000001480,
small mmap        average:,0.000001805,
small munmap          kbest:,0.000001873,
small munmap        average:,0.000001977,
small page fault          kbest:,0.000001186,
small page fault        average:,0.000001238,
 mid write          kbest:,0.000003405,
 mid write        average:,0.000003640,
  mid read          kbest:,0.000001977,
  mid read        average:,0.000002224,
  mid mmap          kbest:,0.000001484,
  mid mmap        average:,0.000001748,
mid munmap          kbest:,0.000005041,
mid munmap        average:,0.000005192,
mid page fault          kbest:,0.000001972,
mid page fault        average:,0.000002064,
 big write          kbest:,0.000430441,
 big write        average:,0.000452626,
  big read          kbest:,0.000321388,
  big read        average:,0.000329149,
  big mmap          kbest:,0.000001545,
  big mmap        average:,0.000001829,
big munmap          kbest:,0.000126429,
big munmap        average:,0.000136037,
big page fault          kbest:,0.000002551,
big page fault        average:,0.000002677,
huge write          kbest:,0.007125928,
huge write        average:,0.007505745,
 huge read          kbest:,0.013849252,
 huge read        average:,0.014758266,
 huge mmap          kbest:,0.000001482,
 huge mmap        average:,0.000001769,
huge munmap          kbest:,0.001379590,
huge munmap        average:,0.001408135,
huge page fault          kbest:,0.000002562,
huge page fault        average:,0.000002680,
    select          kbest:,0.000001174,
    select        average:,0.000001267,
      poll          kbest:,0.000001064,
      poll        average:,0.000001144,
     epoll          kbest:,0.000001190,
     epoll        average:,0.000001291,
select big          kbest:,0.000104734,
select big        average:,0.000132249,
  poll big          kbest:,0.000099838,
  poll big        average:,0.000126367,
 epoll big          kbest:,0.000131401,
 epoll big        average:,0.000168338,
