OS Benchmark experiment
Test Name:,5.19.17,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002200806,
       cpu        average:,0.002204227,
    getpid          kbest:,0.000000527,
    getpid        average:,0.000000554,
context siwtch          kbest:,0.000005190,
context siwtch        average:,0.000006154,
      send          kbest:,0.000002689,
      send        average:,0.000002894,
      recv          kbest:,0.000001013,
      recv        average:,0.000003041,
  big send          kbest:,0.000027781,
  big send        average:,0.000034233,
  big recv          kbest:,0.000023734,
  big recv        average:,0.000029427,
      fork          kbest:,0.000195144,
      fork       average:,0.000234089,
      fork    Child kbest:,0.000288162,
      fork Child average:,0.000388297,
thr create          kbest:,0.000018534,
thr create       average:,0.000025125,
thr create    Child kbest:,0.000027757,
thr create Child average:,0.000036906,
  big fork          kbest:,0.003295259,
  big fork       average:,0.003742803,
  big fork    Child kbest:,0.003464433,
  big fork Child average:,0.003912781,
 huge fork          kbest:,0.007052726,
 huge fork       average:,0.007695981,
 huge fork    Child kbest:,0.007219141,
 huge fork Child average:,0.007867145,
small write          kbest:,0.000001109,
small write        average:,0.000001151,
small read          kbest:,0.000000788,
small read        average:,0.000000850,
small mmap          kbest:,0.000000915,
small mmap        average:,0.000000942,
small munmap          kbest:,0.000001924,
small munmap        average:,0.000001968,
small page fault          kbest:,0.000001203,
small page fault        average:,0.000001241,
 mid write          kbest:,0.000003721,
 mid write        average:,0.000003989,
  mid read          kbest:,0.000002072,
  mid read        average:,0.000002230,
  mid mmap          kbest:,0.000000917,
  mid mmap        average:,0.000000951,
mid munmap          kbest:,0.000006934,
mid munmap        average:,0.000007175,
mid page fault          kbest:,0.000002451,
mid page fault        average:,0.000002505,
 big write          kbest:,0.000466033,
 big write        average:,0.000492346,
  big read          kbest:,0.000342882,
  big read        average:,0.000347664,
  big mmap          kbest:,0.000000925,
  big mmap        average:,0.000000948,
big munmap          kbest:,0.000262694,
big munmap        average:,0.000272907,
big page fault          kbest:,0.000003450,
big page fault        average:,0.000003574,
huge write          kbest:,0.007532813,
huge write        average:,0.007901256,
 huge read          kbest:,0.015908063,
 huge read        average:,0.017059092,
 huge mmap          kbest:,0.000000923,
 huge mmap        average:,0.000000964,
huge munmap          kbest:,0.002977092,
huge munmap        average:,0.003034942,
huge page fault          kbest:,0.000003451,
huge page fault        average:,0.000003551,
    select          kbest:,0.000001207,
    select        average:,0.000001331,
      poll          kbest:,0.000001086,
      poll        average:,0.000001208,
     epoll          kbest:,0.000001238,
     epoll        average:,0.000001378,
select big          kbest:,0.000101011,
select big        average:,0.000122694,
  poll big          kbest:,0.000098157,
  poll big        average:,0.000117702,
 epoll big          kbest:,0.000144525,
 epoll big        average:,0.000174097,
