OS Benchmark experiment
Test Name:,6.12.1,
       ref          kbest:,0.000000013,
       ref        average:,0.000000026,
       cpu          kbest:,0.002146581,
       cpu        average:,0.002151296,
    getpid          kbest:,0.000000502,
    getpid        average:,0.000000508,
context siwtch          kbest:,0.000004515,
context siwtch        average:,0.000004633,
      send          kbest:,0.000000780,
      send        average:,0.000002650,
      recv          kbest:,0.000000957,
      recv        average:,0.000002931,
  big send          kbest:,0.000028236,
  big send        average:,0.000032579,
  big recv          kbest:,0.000013772,
  big recv        average:,0.000028003,
      fork          kbest:,0.000172251,
      fork       average:,0.000273546,
      fork    Child kbest:,0.000268415,
      fork Child average:,0.000420409,
thr create          kbest:,0.000013759,
thr create       average:,0.000024194,
thr create    Child kbest:,0.000022779,
thr create Child average:,0.000034164,
  big fork          kbest:,0.003584842,
  big fork       average:,0.004935176,
  big fork    Child kbest:,0.003753031,
  big fork Child average:,0.005099938,
 huge fork          kbest:,0.008059297,
 huge fork       average:,0.010019583,
 huge fork    Child kbest:,0.008204806,
 huge fork Child average:,0.010185561,
small write          kbest:,0.000000999,
small write        average:,0.000001019,
small read          kbest:,0.000000715,
small read        average:,0.000000795,
small mmap          kbest:,0.000001364,
small mmap        average:,0.000001490,
small munmap          kbest:,0.000001800,
small munmap        average:,0.000001909,
small page fault          kbest:,0.000001177,
small page fault        average:,0.000001202,
 mid write          kbest:,0.000003299,
 mid write        average:,0.000003650,
  mid read          kbest:,0.000002011,
  mid read        average:,0.000002188,
  mid mmap          kbest:,0.000001364,
  mid mmap        average:,0.000001502,
mid munmap          kbest:,0.000005173,
mid munmap        average:,0.000005286,
mid page fault          kbest:,0.000001980,
mid page fault        average:,0.000002069,
 big write          kbest:,0.000438143,
 big write        average:,0.000454068,
  big read          kbest:,0.000338127,
  big read        average:,0.000341252,
  big mmap          kbest:,0.000001446,
  big mmap        average:,0.000001567,
big munmap          kbest:,0.000141684,
big munmap        average:,0.000144562,
big page fault          kbest:,0.000002652,
big page fault        average:,0.000002760,
huge write          kbest:,0.007170006,
huge write        average:,0.007469549,
 huge read          kbest:,0.013741654,
 huge read        average:,0.014650953,
 huge mmap          kbest:,0.000001359,
 huge mmap        average:,0.000001482,
huge munmap          kbest:,0.001390811,
huge munmap        average:,0.001432437,
huge page fault          kbest:,0.000002660,
huge page fault        average:,0.000002752,
    select          kbest:,0.000001169,
    select        average:,0.000001285,
      poll          kbest:,0.000001075,
      poll        average:,0.000001170,
     epoll          kbest:,0.000001310,
     epoll        average:,0.000001441,
select big          kbest:,0.000096961,
select big        average:,0.000120175,
  poll big          kbest:,0.000093107,
  poll big        average:,0.000112894,
 epoll big          kbest:,0.000146443,
 epoll big        average:,0.000185440,
