OS Benchmark experiment
Test Name:,6.6.63,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002198828,
       cpu        average:,0.002208658,
    getpid          kbest:,0.000000526,
    getpid        average:,0.000000533,
context siwtch          kbest:,0.000004976,
context siwtch        average:,0.000005248,
      send          kbest:,0.000000859,
      send        average:,0.000002780,
      recv          kbest:,0.000000958,
      recv        average:,0.000002990,
  big send          kbest:,0.000028283,
  big send        average:,0.000032788,
  big recv          kbest:,0.000017945,
  big recv        average:,0.000029043,
      fork          kbest:,0.000165019,
      fork       average:,0.000245091,
      fork    Child kbest:,0.000268423,
      fork Child average:,0.000399028,
thr create          kbest:,0.000014897,
thr create       average:,0.000023758,
thr create    Child kbest:,0.000023305,
thr create Child average:,0.000034706,
  big fork          kbest:,0.006383873,
  big fork       average:,0.007749506,
  big fork    Child kbest:,0.006558017,
  big fork Child average:,0.007916908,
 huge fork          kbest:,0.007900670,
 huge fork       average:,0.014990544,
 huge fork    Child kbest:,0.008076434,
 huge fork Child average:,0.015169107,
small write          kbest:,0.000001067,
small write        average:,0.000001096,
small read          kbest:,0.000000758,
small read        average:,0.000000824,
small mmap          kbest:,0.000001336,
small mmap        average:,0.000001452,
small munmap          kbest:,0.000001835,
small munmap        average:,0.000001916,
small page fault          kbest:,0.000001163,
small page fault        average:,0.000001210,
 mid write          kbest:,0.000003309,
 mid write        average:,0.000003691,
  mid read          kbest:,0.000002105,
  mid read        average:,0.000002266,
  mid mmap          kbest:,0.000001335,
  mid mmap        average:,0.000001458,
mid munmap          kbest:,0.000005044,
mid munmap        average:,0.000005181,
mid page fault          kbest:,0.000001987,
mid page fault        average:,0.000002061,
 big write          kbest:,0.000435517,
 big write        average:,0.000457178,
  big read          kbest:,0.000339909,
  big read        average:,0.000344907,
  big mmap          kbest:,0.000001426,
  big mmap        average:,0.000001566,
big munmap          kbest:,0.000138626,
big munmap        average:,0.000142160,
big page fault          kbest:,0.000002549,
big page fault        average:,0.000002651,
huge write          kbest:,0.007300842,
huge write        average:,0.007600037,
 huge read          kbest:,0.014931871,
 huge read        average:,0.015113147,
 huge mmap          kbest:,0.000001356,
 huge mmap        average:,0.000001489,
huge munmap          kbest:,0.001417162,
huge munmap        average:,0.001469841,
huge page fault          kbest:,0.000002555,
huge page fault        average:,0.000002659,
    select          kbest:,0.000001183,
    select        average:,0.000001288,
      poll          kbest:,0.000001078,
      poll        average:,0.000001155,
     epoll          kbest:,0.000001277,
     epoll        average:,0.000001395,
select big          kbest:,0.000105245,
select big        average:,0.000132578,
  poll big          kbest:,0.000101795,
  poll big        average:,0.000130825,
 epoll big          kbest:,0.000146188,
 epoll big        average:,0.000201426,
