OS Benchmark experiment
Test Name:,5.12.19,
       ref          kbest:,0.000000012,
       ref        average:,0.000000023,
       cpu          kbest:,0.002147498,
       cpu        average:,0.002165554,
    getpid          kbest:,0.000000321,
    getpid        average:,0.000000330,
context siwtch          kbest:,0.000004005,
context siwtch        average:,0.000004091,
      send          kbest:,0.000001719,
      send        average:,0.000002098,
      recv          kbest:,0.000000774,
      recv        average:,0.000002266,
  big send          kbest:,0.000016785,
  big send        average:,0.000028102,
  big recv          kbest:,0.000011166,
  big recv        average:,0.000024380,
      fork          kbest:,0.000093925,
      fork       average:,0.000209783,
      fork    Child kbest:,0.000158802,
      fork Child average:,0.000269471,
thr create          kbest:,0.000009938,
thr create       average:,0.000018733,
thr create    Child kbest:,0.000013368,
thr create Child average:,0.000025930,
  big fork          kbest:,0.003350401,
  big fork       average:,0.003541696,
  big fork    Child kbest:,0.003456713,
  big fork Child average:,0.003681311,
 huge fork          kbest:,0.006211344,
 huge fork       average:,0.007194544,
 huge fork    Child kbest:,0.006356981,
 huge fork Child average:,0.007336279,
small write          kbest:,0.000000900,
small write        average:,0.000000938,
small read          kbest:,0.000000550,
small read        average:,0.000000635,
small mmap          kbest:,0.000000624,
small mmap        average:,0.000000663,
small munmap          kbest:,0.000000979,
small munmap        average:,0.000001037,
small page fault          kbest:,0.000000769,
small page fault        average:,0.000000790,
 mid write          kbest:,0.000004349,
 mid write        average:,0.000004747,
  mid read          kbest:,0.000001600,
  mid read        average:,0.000002097,
  mid mmap          kbest:,0.000000620,
  mid mmap        average:,0.000000657,
mid munmap          kbest:,0.000003594,
mid munmap        average:,0.000003671,
mid page fault          kbest:,0.000001222,
mid page fault        average:,0.000001251,
 big write          kbest:,0.000594660,
 big write        average:,0.000620651,
  big read          kbest:,0.000346161,
  big read        average:,0.000349149,
  big mmap          kbest:,0.000000629,
  big mmap        average:,0.000000662,
big munmap          kbest:,0.000089877,
big munmap        average:,0.000091255,
big page fault          kbest:,0.000001611,
big page fault        average:,0.000001664,
huge write          kbest:,0.008340095,
huge write        average:,0.008667493,
 huge read          kbest:,0.011772868,
 huge read        average:,0.012938862,
 huge mmap          kbest:,0.000000614,
 huge mmap        average:,0.000000640,
huge munmap          kbest:,0.000921541,
huge munmap        average:,0.000931451,
huge page fault          kbest:,0.000001605,
huge page fault        average:,0.000001650,
    select          kbest:,0.000000902,
    select        average:,0.000001086,
      poll          kbest:,0.000000801,
      poll        average:,0.000000913,
     epoll          kbest:,0.000000934,
     epoll        average:,0.000001054,
select big          kbest:,0.000113336,
select big        average:,0.000148895,
  poll big          kbest:,0.000106218,
  poll big        average:,0.000142482,
 epoll big          kbest:,0.000165355,
 epoll big        average:,0.000214605,
