OS Benchmark experiment
Test Name:,6.4.16,
       ref          kbest:,0.000000013,
       ref        average:,0.000000025,
       cpu          kbest:,0.002149167,
       cpu        average:,0.002157870,
    getpid          kbest:,0.000000514,
    getpid        average:,0.000000522,
context siwtch          kbest:,0.000004609,
context siwtch        average:,0.000005502,
      send          kbest:,0.000000867,
      send        average:,0.000002777,
      recv          kbest:,0.000000889,
      recv        average:,0.000002955,
  big send          kbest:,0.000017991,
  big send        average:,0.000033255,
  big recv          kbest:,0.000023970,
  big recv        average:,0.000029719,
      fork          kbest:,0.000189472,
      fork       average:,0.000255396,
      fork    Child kbest:,0.000290789,
      fork Child average:,0.000407192,
thr create          kbest:,0.000015183,
thr create       average:,0.000023600,
thr create    Child kbest:,0.000023883,
thr create Child average:,0.000034318,
  big fork          kbest:,0.006700143,
  big fork       average:,0.008051836,
  big fork    Child kbest:,0.006867038,
  big fork Child average:,0.008218224,
 huge fork          kbest:,0.010801546,
 huge fork       average:,0.015640844,
 huge fork    Child kbest:,0.010980532,
 huge fork Child average:,0.015821567,
small write          kbest:,0.000001076,
small write        average:,0.000001144,
small read          kbest:,0.000000762,
small read        average:,0.000000844,
small mmap          kbest:,0.000001427,
small mmap        average:,0.000001668,
small munmap          kbest:,0.000001912,
small munmap        average:,0.000002024,
small page fault          kbest:,0.000001180,
small page fault        average:,0.000001252,
 mid write          kbest:,0.000003337,
 mid write        average:,0.000003743,
  mid read          kbest:,0.000002033,
  mid read        average:,0.000002247,
  mid mmap          kbest:,0.000001427,
  mid mmap        average:,0.000001691,
mid munmap          kbest:,0.000005135,
mid munmap        average:,0.000005250,
mid page fault          kbest:,0.000001974,
mid page fault        average:,0.000002061,
 big write          kbest:,0.000440959,
 big write        average:,0.000465428,
  big read          kbest:,0.000344554,
  big read        average:,0.000349055,
  big mmap          kbest:,0.000001508,
  big mmap        average:,0.000001749,
big munmap          kbest:,0.000131143,
big munmap        average:,0.000134497,
big page fault          kbest:,0.000002590,
big page fault        average:,0.000002703,
huge write          kbest:,0.007367451,
huge write        average:,0.007565001,
 huge read          kbest:,0.014828125,
 huge read        average:,0.015027193,
 huge mmap          kbest:,0.000001438,
 huge mmap        average:,0.000001745,
huge munmap          kbest:,0.001440080,
huge munmap        average:,0.001475958,
huge page fault          kbest:,0.000002599,
huge page fault        average:,0.000002725,
    select          kbest:,0.000001171,
    select        average:,0.000001282,
      poll          kbest:,0.000001071,
      poll        average:,0.000001180,
     epoll          kbest:,0.000001215,
     epoll        average:,0.000001325,
select big          kbest:,0.000108864,
select big        average:,0.000136477,
  poll big          kbest:,0.000105109,
  poll big        average:,0.000130959,
 epoll big          kbest:,0.000152048,
 epoll big        average:,0.000184149,
