OS Benchmark experiment
Test Name:,6.11.10,
       ref          kbest:,0.000000013,
       ref        average:,0.000000027,
       cpu          kbest:,0.002148367,
       cpu        average:,0.002155808,
    getpid          kbest:,0.000000500,
    getpid        average:,0.000000507,
context siwtch          kbest:,0.000004816,
context siwtch        average:,0.000005344,
      send          kbest:,0.000002549,
      send        average:,0.000002737,
      recv          kbest:,0.000001075,
      recv        average:,0.000003020,
  big send          kbest:,0.000027136,
  big send        average:,0.000032421,
  big recv          kbest:,0.000018958,
  big recv        average:,0.000028798,
      fork          kbest:,0.000170347,
      fork       average:,0.000253556,
      fork    Child kbest:,0.000252654,
      fork Child average:,0.000403198,
thr create          kbest:,0.000014514,
thr create       average:,0.000023574,
thr create    Child kbest:,0.000022463,
thr create Child average:,0.000033729,
  big fork          kbest:,0.004109364,
  big fork       average:,0.004767490,
  big fork    Child kbest:,0.004281092,
  big fork Child average:,0.004932501,
 huge fork          kbest:,0.006199409,
 huge fork       average:,0.009768717,
 huge fork    Child kbest:,0.006374503,
 huge fork Child average:,0.009924193,
small write          kbest:,0.000001030,
small write        average:,0.000001048,
small read          kbest:,0.000000738,
small read        average:,0.000000834,
small mmap          kbest:,0.000001402,
small mmap        average:,0.000001560,
small munmap          kbest:,0.000001781,
small munmap        average:,0.000001878,
small page fault          kbest:,0.000001162,
small page fault        average:,0.000001229,
 mid write          kbest:,0.000003297,
 mid write        average:,0.000003654,
  mid read          kbest:,0.000002078,
  mid read        average:,0.000002240,
  mid mmap          kbest:,0.000001436,
  mid mmap        average:,0.000001583,
mid munmap          kbest:,0.000005085,
mid munmap        average:,0.000005197,
mid page fault          kbest:,0.000001973,
mid page fault        average:,0.000002039,
 big write          kbest:,0.000435266,
 big write        average:,0.000460196,
  big read          kbest:,0.000348163,
  big read        average:,0.000351426,
  big mmap          kbest:,0.000001442,
  big mmap        average:,0.000001584,
big munmap          kbest:,0.000141257,
big munmap        average:,0.000143736,
big page fault          kbest:,0.000002606,
big page fault        average:,0.000002695,
huge write          kbest:,0.007182505,
huge write        average:,0.007558343,
 huge read          kbest:,0.013820860,
 huge read        average:,0.014901567,
 huge mmap          kbest:,0.000001411,
 huge mmap        average:,0.000001567,
huge munmap          kbest:,0.001366238,
huge munmap        average:,0.001415105,
huge page fault          kbest:,0.000002600,
huge page fault        average:,0.000002720,
    select          kbest:,0.000001186,
    select        average:,0.000001323,
      poll          kbest:,0.000001086,
      poll        average:,0.000001180,
     epoll          kbest:,0.000001317,
     epoll        average:,0.000001406,
select big          kbest:,0.000119740,
select big        average:,0.000146596,
  poll big          kbest:,0.000115157,
  poll big        average:,0.000138227,
 epoll big          kbest:,0.000164606,
 epoll big        average:,0.000188474,
