OS Benchmark experiment
Test Name:,5.18.19,
       ref          kbest:,0.000000013,
       ref        average:,0.000000021,
       cpu          kbest:,0.002200337,
       cpu        average:,0.002204053,
    getpid          kbest:,0.000000527,
    getpid        average:,0.000000554,
context siwtch          kbest:,0.000005114,
context siwtch        average:,0.000006143,
      send          kbest:,0.000002336,
      send        average:,0.000002863,
      recv          kbest:,0.000000992,
      recv        average:,0.000003045,
  big send          kbest:,0.000020098,
  big send        average:,0.000034091,
  big recv          kbest:,0.000022210,
  big recv        average:,0.000029730,
      fork          kbest:,0.000161767,
      fork       average:,0.000230607,
      fork    Child kbest:,0.000274405,
      fork Child average:,0.000383712,
thr create          kbest:,0.000017508,
thr create       average:,0.000025190,
thr create    Child kbest:,0.000027993,
thr create Child average:,0.000036824,
  big fork          kbest:,0.003261077,
  big fork       average:,0.003802321,
  big fork    Child kbest:,0.003433026,
  big fork Child average:,0.003969808,
 huge fork          kbest:,0.006748430,
 huge fork       average:,0.007737669,
 huge fork    Child kbest:,0.006924286,
 huge fork Child average:,0.007905562,
small write          kbest:,0.000001108,
small write        average:,0.000001146,
small read          kbest:,0.000000781,
small read        average:,0.000000852,
small mmap          kbest:,0.000000912,
small mmap        average:,0.000000949,
small munmap          kbest:,0.000001933,
small munmap        average:,0.000001993,
small page fault          kbest:,0.000001182,
small page fault        average:,0.000001211,
 mid write          kbest:,0.000003765,
 mid write        average:,0.000004201,
  mid read          kbest:,0.000001987,
  mid read        average:,0.000002193,
  mid mmap          kbest:,0.000000911,
  mid mmap        average:,0.000000951,
mid munmap          kbest:,0.000007006,
mid munmap        average:,0.000007183,
mid page fault          kbest:,0.000002427,
mid page fault        average:,0.000002505,
 big write          kbest:,0.000470375,
 big write        average:,0.000496828,
  big read          kbest:,0.000325777,
  big read        average:,0.000334208,
  big mmap          kbest:,0.000000894,
  big mmap        average:,0.000000927,
big munmap          kbest:,0.000254271,
big munmap        average:,0.000265922,
big page fault          kbest:,0.000003438,
big page fault        average:,0.000003523,
huge write          kbest:,0.007644373,
huge write        average:,0.007830975,
 huge read          kbest:,0.016761670,
 huge read        average:,0.016970304,
 huge mmap          kbest:,0.000000894,
 huge mmap        average:,0.000000927,
huge munmap          kbest:,0.002908579,
huge munmap        average:,0.002973354,
huge page fault          kbest:,0.000003442,
huge page fault        average:,0.000003516,
    select          kbest:,0.000001169,
    select        average:,0.000001304,
      poll          kbest:,0.000001065,
      poll        average:,0.000001192,
     epoll          kbest:,0.000001236,
     epoll        average:,0.000001413,
select big          kbest:,0.000095827,
select big        average:,0.000119125,
  poll big          kbest:,0.000091221,
  poll big        average:,0.000112792,
 epoll big          kbest:,0.000134278,
 epoll big        average:,0.000166564,
