OS Benchmark experiment
Test Name:,6.2.16,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002200334,
       cpu        average:,0.002205297,
    getpid          kbest:,0.000000533,
    getpid        average:,0.000000542,
context siwtch          kbest:,0.000005159,
context siwtch        average:,0.000006197,
      send          kbest:,0.000000901,
      send        average:,0.000002938,
      recv          kbest:,0.000000983,
      recv        average:,0.000003045,
  big send          kbest:,0.000028517,
  big send        average:,0.000034997,
  big recv          kbest:,0.000023739,
  big recv        average:,0.000029972,
      fork          kbest:,0.000214485,
      fork       average:,0.000298833,
      fork    Child kbest:,0.000322443,
      fork Child average:,0.000456035,
thr create          kbest:,0.000014225,
thr create       average:,0.000024954,
thr create    Child kbest:,0.000023762,
thr create Child average:,0.000036482,
  big fork          kbest:,0.006367772,
  big fork       average:,0.007736510,
  big fork    Child kbest:,0.006565029,
  big fork Child average:,0.007937512,
 huge fork          kbest:,0.010969158,
 huge fork       average:,0.014927153,
 huge fork    Child kbest:,0.011195868,
 huge fork Child average:,0.015138800,
small write          kbest:,0.000001192,
small write        average:,0.000001236,
small read          kbest:,0.000000768,
small read        average:,0.000000825,
small mmap          kbest:,0.000001500,
small mmap        average:,0.000001728,
small munmap          kbest:,0.000003704,
small munmap        average:,0.000003976,
small page fault          kbest:,0.000001466,
small page fault        average:,0.000001524,
 mid write          kbest:,0.000003833,
 mid write        average:,0.000004187,
  mid read          kbest:,0.000002010,
  mid read        average:,0.000002176,
  mid mmap          kbest:,0.000001498,
  mid mmap        average:,0.000001714,
mid munmap          kbest:,0.000008102,
mid munmap        average:,0.000008389,
mid page fault          kbest:,0.000001600,
mid page fault        average:,0.000001667,
 big write          kbest:,0.000461080,
 big write        average:,0.000482208,
  big read          kbest:,0.000326780,
  big read        average:,0.000329904,
  big mmap          kbest:,0.000001576,
  big mmap        average:,0.000001803,
big munmap          kbest:,0.000300612,
big munmap        average:,0.000308010,
big page fault          kbest:,0.000003869,
big page fault        average:,0.000003999,
huge write          kbest:,0.007457841,
huge write        average:,0.007688843,
 huge read          kbest:,0.016534615,
 huge read        average:,0.017832502,
 huge mmap          kbest:,0.000001518,
 huge mmap        average:,0.000001737,
huge munmap          kbest:,0.002981684,
huge munmap        average:,0.003029321,
huge page fault          kbest:,0.000003866,
huge page fault        average:,0.000003951,
    select          kbest:,0.000001240,
    select        average:,0.000001373,
      poll          kbest:,0.000001130,
      poll        average:,0.000001269,
     epoll          kbest:,0.000001311,
     epoll        average:,0.000001443,
select big          kbest:,0.000100530,
select big        average:,0.000121518,
  poll big          kbest:,0.000097378,
  poll big        average:,0.000117566,
 epoll big          kbest:,0.000135929,
 epoll big        average:,0.000168381,
