OS Benchmark experiment
Test Name:,6.7.12,
       ref          kbest:,0.000000013,
       ref        average:,0.000000021,
       cpu          kbest:,0.002200302,
       cpu        average:,0.002203911,
    getpid          kbest:,0.000000525,
    getpid        average:,0.000000533,
context siwtch          kbest:,0.000004999,
context siwtch        average:,0.000005333,
      send          kbest:,0.000000821,
      send        average:,0.000002818,
      recv          kbest:,0.000001029,
      recv        average:,0.000002933,
  big send          kbest:,0.000016939,
  big send        average:,0.000032624,
  big recv          kbest:,0.000015178,
  big recv        average:,0.000028959,
      fork          kbest:,0.000157262,
      fork       average:,0.000264741,
      fork    Child kbest:,0.000246096,
      fork Child average:,0.000412857,
thr create          kbest:,0.000018267,
thr create       average:,0.000023153,
thr create    Child kbest:,0.000026671,
thr create Child average:,0.000033817,
  big fork          kbest:,0.005892734,
  big fork       average:,0.007629179,
  big fork    Child kbest:,0.006067157,
  big fork Child average:,0.007797263,
 huge fork          kbest:,0.007806705,
 huge fork       average:,0.014693634,
 huge fork    Child kbest:,0.007988158,
 huge fork Child average:,0.014869720,
small write          kbest:,0.000001065,
small write        average:,0.000001086,
small read          kbest:,0.000000750,
small read        average:,0.000000809,
small mmap          kbest:,0.000001294,
small mmap        average:,0.000001424,
small munmap          kbest:,0.000001715,
small munmap        average:,0.000001850,
small page fault          kbest:,0.000001151,
small page fault        average:,0.000001210,
 mid write          kbest:,0.000003394,
 mid write        average:,0.000003744,
  mid read          kbest:,0.000002030,
  mid read        average:,0.000002163,
  mid mmap          kbest:,0.000001291,
  mid mmap        average:,0.000001412,
mid munmap          kbest:,0.000005020,
mid munmap        average:,0.000005161,
mid page fault          kbest:,0.000001971,
mid page fault        average:,0.000002056,
 big write          kbest:,0.000437547,
 big write        average:,0.000450684,
  big read          kbest:,0.000335561,
  big read        average:,0.000339118,
  big mmap          kbest:,0.000001307,
  big mmap        average:,0.000001450,
big munmap          kbest:,0.000134184,
big munmap        average:,0.000139490,
big page fault          kbest:,0.000002559,
big page fault        average:,0.000002653,
huge write          kbest:,0.007317014,
huge write        average:,0.007720073,
 huge read          kbest:,0.013948899,
 huge read        average:,0.014896894,
 huge mmap          kbest:,0.000001307,
 huge mmap        average:,0.000001415,
huge munmap          kbest:,0.001307294,
huge munmap        average:,0.001360071,
huge page fault          kbest:,0.000002559,
huge page fault        average:,0.000002667,
    select          kbest:,0.000001173,
    select        average:,0.000001243,
      poll          kbest:,0.000001071,
      poll        average:,0.000001141,
     epoll          kbest:,0.000001191,
     epoll        average:,0.000001293,
select big          kbest:,0.000102706,
select big        average:,0.000128348,
  poll big          kbest:,0.000101087,
  poll big        average:,0.000122162,
 epoll big          kbest:,0.000131860,
 epoll big        average:,0.000160479,
