OS Benchmark experiment
Test Name:,6.8.12,
       ref          kbest:,0.000000013,
       ref        average:,0.000000020,
       cpu          kbest:,0.002147958,
       cpu        average:,0.002151933,
    getpid          kbest:,0.000000503,
    getpid        average:,0.000000510,
context siwtch          kbest:,0.000004934,
context siwtch        average:,0.000005306,
      send          kbest:,0.000000831,
      send        average:,0.000002663,
      recv          kbest:,0.000000856,
      recv        average:,0.000002893,
  big send          kbest:,0.000017725,
  big send        average:,0.000032307,
  big recv          kbest:,0.000015367,
  big recv        average:,0.000028420,
      fork          kbest:,0.000149399,
      fork       average:,0.000254355,
      fork    Child kbest:,0.000240753,
      fork Child average:,0.000409337,
thr create          kbest:,0.000018478,
thr create       average:,0.000024252,
thr create    Child kbest:,0.000026176,
thr create Child average:,0.000034774,
  big fork          kbest:,0.004118999,
  big fork       average:,0.004828373,
  big fork    Child kbest:,0.004243538,
  big fork Child average:,0.004994149,
 huge fork          kbest:,0.006818211,
 huge fork       average:,0.009790804,
 huge fork    Child kbest:,0.006975248,
 huge fork Child average:,0.009942956,
small write          kbest:,0.000001029,
small write        average:,0.000001052,
small read          kbest:,0.000000737,
small read        average:,0.000000784,
small mmap          kbest:,0.000001305,
small mmap        average:,0.000001449,
small munmap          kbest:,0.000001736,
small munmap        average:,0.000001829,
small page fault          kbest:,0.000001183,
small page fault        average:,0.000001265,
 mid write          kbest:,0.000003437,
 mid write        average:,0.000004010,
  mid read          kbest:,0.000002048,
  mid read        average:,0.000002177,
  mid mmap          kbest:,0.000001301,
  mid mmap        average:,0.000001453,
mid munmap          kbest:,0.000005095,
mid munmap        average:,0.000005269,
mid page fault          kbest:,0.000002012,
mid page fault        average:,0.000002111,
 big write          kbest:,0.000427234,
 big write        average:,0.000457798,
  big read          kbest:,0.000333261,
  big read        average:,0.000338428,
  big mmap          kbest:,0.000001342,
  big mmap        average:,0.000001475,
big munmap          kbest:,0.000136869,
big munmap        average:,0.000141302,
big page fault          kbest:,0.000002596,
big page fault        average:,0.000002699,
huge write          kbest:,0.007302392,
huge write        average:,0.007591007,
 huge read          kbest:,0.013863485,
 huge read        average:,0.015022470,
 huge mmap          kbest:,0.000001333,
 huge mmap        average:,0.000001464,
huge munmap          kbest:,0.001334968,
huge munmap        average:,0.001378456,
huge page fault          kbest:,0.000002594,
huge page fault        average:,0.000002698,
    select          kbest:,0.000001170,
    select        average:,0.000001254,
      poll          kbest:,0.000001061,
      poll        average:,0.000001127,
     epoll          kbest:,0.000001254,
     epoll        average:,0.000001373,
select big          kbest:,0.000106276,
select big        average:,0.000130783,
  poll big          kbest:,0.000100931,
  poll big        average:,0.000122529,
 epoll big          kbest:,0.000142790,
 epoll big        average:,0.000177977,
